Unnamed: 0,type_avion,age_avion,nombre_passagers,consommation_carburant
0,E190,2014.0,,0.5751388149439337
1,E190,2014.0,,0.6038942877101887
2,A319,2001.0,,0.5375326624932502
3,A319,2001.0,,0.6750595384449057
6,B738,2005.0,,0.7849412754647582
7,B738,2005.0,,0.8386097269877035
16,A319,,,0.8825484719707873
17,A319,,,0.7638109555854513
18,A319,,,0.7369501877300919
19,A319,,,0.7308734696886906
20,A319,,,0.6079250127378389
21,A319,,,0.7983682618262361
22,A319,,,0.7631866060092689
23,A319,,,0.7320806868644302
24,A321,,,0.8968019692346468
25,A321,,,0.9452735107114832
26,A319,2001.0,,0.7563676532186693
27,A319,2001.0,,0.7463079799292032
28,A319,2002.0,,0.8316479351840486
29,A319,2002.0,,0.7240923750764414
30,A321,,,0.7309403697073565
31,A321,1999.0,,0.8334809434346646
32,A321,2008.0,,0.8989764716544019
33,A321,2008.0,,0.863094860285372
34,A321,2008.0,,0.8991887923292354
35,A321,2008.0,,0.8779785629007893
36,A321,2008.0,,0.9626053880260864
37,A321,2008.0,,0.8893180810614121
38,A321,2008.0,200.0,0.8511123474769912
39,A321,2008.0,200.0,0.9346728144574072
45,E190,,,0.4724666038671676
46,E190,2009.0,,0.5194374202589433
47,E190,,,0.7025441935878555
48,E190,,,0.432222733807459
49,E190,,,0.4855811856128778
50,E190,,,0.6808084723329519
51,A320,2011.0,,0.6873099698066144
52,A320,2011.0,,0.655010588205566
53,A320,2011.0,,0.6781911072251006
54,A320,2011.0,,0.6989171225501503
55,A320,2011.0,,0.6900764576635012
56,A320,2017.0,,0.6770327188927736
59,B738,2016.0,,0.7692999734765567
60,B738,2016.0,,0.8237662908226947
61,A319,2013.0,,0.7778048307162403
62,A319,2013.0,,0.9656227534325892
63,A319,,,0.724703699345487
64,A319,1996.0,138.0,0.8383110601617254
65,A319,1996.0,138.0,0.6959733305154305
66,A320,2009.0,168.0,0.6446100659965821
67,A320,2002.0,2.0,0.718205065491543
68,A320,2002.0,2.0,0.7055318597909934
69,A320,2002.0,,0.7026637753743843
